,early_interval,late_interval,early_age,late_age,reference_no,lng
329,Late Kimmeridgian,Early Tithonian,155.7,145.0,17647;17647,-5.3725
236,Late Kimmeridgian,Early Tithonian,155.7,145.0,13255;13255,-108.39720200000001
660,Late Kimmeridgian,,155.7,150.8,49990;49990,-9.341944
