,early_interval,late_interval,early_age,late_age,reference_no,lng
235,Late Turonian,Early Coniacian,93.5,85.8,13199;13199,-68.724556
607,Middle Turonian,Late Turonian,93.5,89.3,46400;46400,62.655315
292,Late Turonian,Early Coniacian,93.5,85.8,14280;14280,-68.724556
302,Late Turonian,Early Coniacian,93.5,85.8,13200;13200,-69.550003
688,Middle Turonian,Late Turonian,93.5,89.3,53745;53745,63.780277000000005
685,Middle Turonian,Late Turonian,93.5,89.3,13891;13891,62.655315
171,Late Turonian,Early Coniacian,93.5,85.8,12706;12706,-69.550003
686,Middle Turonian,Late Turonian,93.5,89.3,53745;53745,61.5
