,early_interval,late_interval,early_age,late_age,reference_no,lng
442,Late Campanian,,83.5,70.6,19433;19433,-103.56562
348,Judithian,,83.5,70.6,17857;17857,-107.756699
390,Late Campanian,,83.5,70.6,19381;19381,100.90194699999999
154,Late Campanian,,83.5,70.6,5929;5929,-111.50698100000001
363,Late Campanian,,83.5,70.6,19348;19348,-111.50698100000001
351,Late Campanian,,83.5,70.6,18146;18146,103.26666999999999
352,Late Campanian,,83.5,70.6,18147;18147,103.26666999999999
355,Late Campanian,,83.5,70.6,18896;18896,-111.52458200000001
23,Late Campanian,,83.5,70.6,7840;7840,6.106141
356,Late Campanian,Maastrichtian,83.5,66.0,19177;19177,13.935208
360,Late Campanian,,83.5,70.6,48570;48570,-111.52496299999999
92,Late Campanian,,83.5,70.6,5929;5929,-111.480057
366,Middle Campanian,,83.5,70.6,19348;19348,-111.523872
371,Late Campanian,,83.5,70.6,19348;19348,-111.45848799999999
374,Late Campanian,,83.5,70.6,19348;19348,-111.494652
1,Late Campanian,,83.5,70.6,5721;5721,-111.52458200000001
383,Late Campanian,,83.5,70.6,19348;19348,-111.624329
384,Late Campanian,,83.5,70.6,19348;19348,-111.49181399999999
387,Late Campanian,,83.5,70.6,19348;19348,-111.37455700000001
