,early_interval,late_interval,early_age,late_age,reference_no,lng
684,Early Tithonian,,150.8,145.0,53638;53638,-1.4102379999999999
603,Middle Tithonian,Early Berriasian,150.8,140.2,44510;44510,-1.15
