,early_interval,late_interval,early_age,late_age,reference_no,lng
500,Barremian,Early Aptian,129.4,122.46,26657;26657,120.840065
563,Barremian,Aptian,129.4,113.0,34155;34155,102.733299
87,Barremian,Aptian,129.4,113.0,11755;11755,97.61666899999999
86,Barremian,Aptian,129.4,113.0,11755;11755,97.583336
293,Barremian,Aptian,129.4,113.0,14367;14367,87.957779
61,Barremian,Aptian,129.4,113.0,8702;8702,87.957779
532,Barremian,,129.4,125.0,30568;30568,121.41666399999998
734,Barremian,Aptian,129.4,113.0,66074;66074,119.683296
15,Barremian,,129.4,125.0,7471;7471,-109.567902
