,early_interval,late_interval,early_age,late_age,reference_no,lng
269,Late Albian,Cenomanian,105.3,93.9,44003;44003,-112.59861000000001
115,Late Albian,Early Cenomanian,105.3,93.5,13288;13288,-111.038002
