,early_interval,late_interval,early_age,late_age,reference_no,lng
315,Cenomanian,Santonian,100.5,83.6,42289;42289,107.764168
172,Cenomanian,,100.5,93.9,17551;17551,73.306946
249,Late Cretaceous,,100.5,66.0,33320;33320,88.699997
250,Late Cretaceous,,100.5,66.0,33320;33320,87.834999
277,Late Cretaceous,,100.5,66.0,30640;30640,-102.712074
