,early_interval,late_interval,early_age,late_age,reference_no,lng
163,Santonian,Early Campanian,86.3,70.6,16510;16510,64.432808
164,Santonian,Early Campanian,86.3,70.6,16510;16510,64.328972
184,Santonian,Early Campanian,86.3,70.6,45996;45996,77.792511
186,Santonian,Early Campanian,86.3,70.6,16510;16510,63.866699
162,Santonian,Early Campanian,86.3,70.6,64195;64195,64.650002
