,early_interval,late_interval,early_age,late_age,reference_no,lng
175,Late Santonian,Early Campanian,85.8,70.6,17718;17718,-113.75
168,Early Santonian,,85.8,83.5,17387;17387,69.702499
124,Late Santonian,Early Campanian,85.8,70.6,1965;1965,-106.941147
142,Late Santonian,Middle Campanian,85.8,70.6,14626;14626,-85.3172
183,Early Santonian,,85.8,83.5,16510;16510,73.486946
20,Late Santonian,Early Campanian,85.8,70.6,62031;62031,-113.75
248,Late Santonian,,85.8,83.5,33186;33186,142.017624
